cues,result,compare
ba alif ba ya,520,916
ba zhang,23000,7460
baba malay,17700,19400
baba nyonya,66100,65500
babi,13800000,8570000
babi poyo,7,5
babu singh,26500,26600
bacin,9990,34000
backside itchy,4080,3930
bad acting skill,498,473
badan berg,45,38
badan kering kontang,1,1
baduvaa,3,3
bag of balls,113000,113000
baghal,31700,32000
bagus,19800000,14900000
bahlul,53100,54200
bai fu mei,1670,1640
bai wulong,83,83
baik,28500000,34600000
baik hati,359000,359000
bak chew ang,3,3
bak chew tah sai,3,3
bak chew tah stamp,19,9
bakero,6050,138000
balik,10100000,8400000
balik kampung,253000,171000
ball game,453000,470000
balls drop,94300,124000
balls shrink,5570,5480
balu,368000,445000
balukoo,1900,5660
bamboo leaf,119000,64300
banana child,4760,8200
banana leaf,521000,531000
bang ball,108000,108000
bangang,624000,697000
bangap,1510,1510
bangga,1210000,1230000
bangga hati,682,682
bangkai,272000,121000
bangla,19300000,17600000
bangsat,288000,289000
bantai,336000,333000
bantal busuk,5650,5610
banyak cakap,35500,36700
banyak colok,1250,749
banyak mulut,7420,7410
bao ga liao,6230,6550
bao fa hu,444,427
bao sua bao hai,1890,1870
baobei,147000,65700
bapak lu,3920,2730
bapok,44400,41500
barang,17900000,18500000
barang barang,2750000,3050000
baru,62300000,67600000
basic academic learning,1850,1850
basic infomation,4750000,3510000
basic military training,106000,103000
basket,94100000,89200000
basketball court,905000,905000
bat po,18500,18300
batu api,35300,35400
bazir,56100,50900
bbm,6490000,6770000
bcac,194000,194000
bcc,7130000,9560000
bcf,412000,369000
beancurd skin,50300,57300
beancurd strip,126,109
because the sky is so high the bird shit in your eye,7,7
bedal,64300,64700
bedek,68200,219000
bedek kacang,41,41
bedok bedok,36500,36200
bee hoon,662000,678000
bee koh,10100,10700
bee see,32400,32400
beef ball,40800,74900
beef floss,9140,6920
beef rendang,193000,192000
beef serunding,1970,2050
beethoven,1880000,1700000
beh,3570000,4010000
beh tah han,5540,5730
beh gum,8,70
beh hiao,220,235
beh hiao bai,5,5
beh hoo,25,25
beh hoon,662000,83
beh hoon kia,1,1
beh kan,1280,1180
beh kia nang,315000,343000
beh kia nang tu lan,14300,59800
beh kum guan,2,2
beh pai,2450,2340
beh paiseh,78,78
beh piao,5,5
beh song,1870,1880
beh steady,181000,78
beh steali,546000,561000
beh tank,4,4
beh tong,609,609
beh yau kin,5,5
belah,1170000,1160000
belakang mari,989,989
belanja,7380000,8340000
belasah,63900,64500
belcube,6590,6190
bell curve god,1390,1520
bend,53000000,38000000
beng,8060000,7720000
bengang,139000,47600
bengap,18300,19100
bengfied,1,1
bengkok,133000,327000
benglish,64200,63300
bengong,161000,163000
berak,285000,132000
berambus,17600,14900
berangan,217000,208000
berani buat berani tanggung,2040,2030
berat hati,35200,35200
berat mulut,3360,3340
berat sebelah,52200,51800
berat tulang,8200,33900
berbelah bagi,12200,21700
berbual slang,7,7
berfoya foya,10400,11100
berhutang budi,8880,8200
bermuka dua,17200,17800
bermuka muka,3960,3930
berterima kasih,326000,325000
beruk,82100,77300
besar hati,12900,12800
besar kepala,39300,41200
betawi laksa,2390,2280
betina,2930000,3600000
better cover car chng,3,3
bgr,782000,2450000
bhai,7070000,6800000
bhai si mi sek,4,4
bhai toncet,1,1
bhb,704000,756000
