cues,result,compare
gasak,125000,128000
gasak buta,268,268
gasak lah,383,350
gasing,97600,105000
gatal,652000,990000
gau,3700000,4040000
gau mm tim,5,5
gd,53800000,44400000
gedempol,3310,3420
geh geh,4240,4240
geh kiang,1190,1270
gei lou,297,296
gei yan,216,214
gek sim,3390,3380
gembeng,9320,9180
gempal,88100,91000
gemuk,784000,692000
gemuk gedempol,605,605
gendut,429000,695000
geng,3110000,2750000
geng bang,27900,32400
ger,24400000,30600000
geragok,387,445
geram,520000,544000
gerek,787000,810000
get,1370000000,1630000000
get what one deserve,202,221
getai,67400,53600
getuk getuk,1190,1370
getuk ubi,9710,9160
gg,28200000,43300000
ggdd,6500,6570
ggwp,193000,192000
ggxx,59200,58800
ghee cookie,102,111
gi mampoi,812,800
gi mampus,1070,1240
gi mati,807,872
giah lum pa chut lai tom to teng,5260,5510
gian png,1420,1420
gila,2880000,2490000
gila arak,5,5
gila bab,6820,6820
gila babi,20700,16600
gila betina,117,136
gila bodek,8,8
gila botol,667,644
gila dadah,54,56
gila duit,3810,4190
gila gossip,20,14
gila hutang,68,68
gila jantan,217,121
gila judi,14100,13900
gila kuasa,34500,32600
gila lelaki,1760,1920
gila money,233,246
gila pangkat,2830,3330
gila perempuan,14400,14800
gila pompuan,113,88
gila rank,226,214
gila rasuah,66,56
gila talak,5680,5830
gila wang,447,284
ginna kuan,91500,84200
ginna pi,549,1340
give chance,77700,75300
give face,313000,306000
give offering,4820,4830
gl,50800000,52500000
glam,30200000,31300000
glgt,17600,17700
glhf,48700,49300
go head,284000,286000
go where,3420000,3930000
go and die,872000,645000
go die,278000,278000
go fly kite,10500,9320
go fuck spider,15700,14300
go jump down,5490,1100
go mampoi,4890,2020
go mampus,135,8
go mati,1980,1370
gold coin chocolate,65300,1530
golden cheese pie,280,386
goli,579000,490000
gone case,37700,36800
gong dai dai,282,391
gong dua dai,7,6
gong gong,37500,36100
gong gong dai dai,245,325
gong gong jia ti kong,3,3
gong hei fat choy,8690,8700
gong kia,1970,1850
gong koay,1,1
gong lang,2060,2060
gong lanjiao wei,7,7
gong tao,41500,8120
gong xi,214000,231000
gong xi fa cai,174000,167000
gongfu,273000,53100
gongxi raya,536,536
good for nothing,780000,780000
good very good,1130000,1130000
goondu,27000,26000
goot pocoyo,7,6
gor chiam tua guay gu chia leng,58,58
gorblok,157,202
goreng,9830000,8900000
gostan,14100,46200
got,405000000,461000000
got eye see no or yee or,3,3
got problem ah,614,605
got eye see no tarzan,7,7
got license,13100,12900
got link got talk,48,10
got video got talk,1260,1250
government job,306000,337000
government mouthpiece,16000,16100
government scholarship,171000,356000
goyang kaki,53400,90200
grandfathers army,106,139
grandfathers road,392,1010
grandfudder road,10,10
grated coconut,91600,207000
green bean flour,4280,5160
green bean powder,2920,2860
green packet,34100,38200
gu niang,5260,5270
gu poon si,10,10
gu zao wei,6170,5700
gua,4120000,4630000
guai lan,4030,6290
guai lan kia,216,215
guangdong province,1170000,1290000
guangzhou immigrant,125,129
guanyin ma,3770,450
gudek putih,3000,3170
guinness foerign extra stout,6580,6490
gula masam manis,127,128
gula melaka,343000,343000
gummy candy,129000,117000
gungho,220000,215000
guo fen,13500,13800
gvgt,23800,23500
gwai lou,879,880
gx,5870000,6880000
h81,101000,95900
ha,140000000,156000000
ha ki lum pa,591000,603000
ha lum pa,788000,823000
ha ni ah pa lum pa hor li kar,122000,31400
habis,4910000,3820000
haf,298000,311000
hailat,7470,7410
haish,64900,65900
haiyah,17300,17800
haiyoh,12300,12300
haiyoyo,250,269
hakka cuisine,23400,25200
halal,28900000,29800000
half ball,52600,52600
half past six,79200,79200
half-baked,514000,557000
ham bin,2330,3610
hami melon,39300,8790
hamz,69300,69100
han na,53100,174000
han tse,500,617
hancai,286000,285000
hand itchy,6320,6380
handsomelicious,4,4
hang zheng pai,5,6
hantam,162000,75900
hao chi,26200,26800
hao lian,21100,20400
hao lum bin,3,3
hao ren,9590,9630
hapak,35500,37000
happy like bird,1950,1950
haprak,15800,17100
hapz,7500,7180
haram,5910000,7360000
hard up,7500000,7670000
hardcore,39700000,32700000
hari raya,11100000,5030000
hari raya aidiladha,344000,348000
hari raya aidilfitri,931000,526000
hari raya haji,347000,367000
hari raya puasa,150000,156000
harnoh,68,68
hasut,23600,25000
hate sunlight,1100,1010
hati batu,25600,19300
hati berat,4420,7170
hati busuk,7400,6870
hati cair,627,627
hati panas,4700,4700
haw flakes,9310,9290
hawk one or koh one,4,4
hawker centre,833000,825000
hay bee,5270,5270
hay bee hiam,997,997
hay wiring,881,881
haywiring all over the shop,3,3
hdb flat,1280000,1320000
he still small boy one,549,538
hean toh,563,563
heart cair,260,262
heart pain,93100,48600
heartlander,21300,21000
heaty,144000,135000
heck care,3870,7970
heh heh chuan,46,46
hei she hui,1780,1780
helication,80,100
helicopter,18700000,17400000
hell money,11400,45300
hen hao,3370,16100
heng,10600000,14900000
heng chu,6510,6420
heng kao kan,8,8
heng suay,2230,2410
henpecked husband,13600,18900
hensem,83700,306000
hentak,119000,110000
hentak kaki,6900,8710
hentak kaki cepat hentak,278,277
hentak leg,41200,49800
hentam,110000,111000
hentam bola,217,217
heong,235000,217000
heong siu,4,4
hero,80200000,73600000
hey sho,741,741
hiam,84100,92000
hiao,51000,51700
hiao lay lay,67,67
hiao mi,17800000,27300000
hiau lok,1,1
hide face,33200,33700
hide muka,30,37
hidung tinggi,3080,2790
high level,60600000,62000000
high roller,1580000,2100000
high-class,3040000,3150000
hijabista,59300,62200
hilang,3730000,3730000
hilang akal,24900,14000
himbo,110000,111000
hin,21200000,21000000
hindu festival,537000,537000
hindu pariah,99,100
hip siong,13300,13300
hiro,1290000,1270000
hiro choc cake,181,181
hiro chocolate cake,643,739
hisap dadah,4830,7980
hisap ganja,5420,5470
hit aeroplane,1230,1230
hit or miss,719000,728000
hit target,99100,26000
hit with slippers,1550,1690
hitto,76800,9950
hmmm zai,3,3
ho gai siao,272,272
ho hia tee,26,27
ho jiak,28000,26000
ho jiak ho koon,96,84
ho kua,667,627
ho lang kan,269,301
ho say,42000,39800
ho thia,141,141
hock kee,32200,31800
hodoh,72700,72800
hojjiber,47,57
hokkien char mee,5900,5910
hokkien cuisine,6110,5570
hokkien peng,8020,8030
holy day,270000,269000
holy month,251000,248000
hong bao,68500,70800
hong kan,6980,7310
hong kong foot,15400,17300
hongster,1460,1360
hoong kee,2220,974
hoot,2390000,2140000
hopeless case,62100,62500
hor,5710000,4580000
hor fun,198000,198000
hor gui kan,322000,335000
hor kau kan,6,6
hor liao,1420,1390
hor mia,1010,1250
hor miah,56,56
horlan,3490,3230
horlicks soya bean,53,53
hormat,631000,443000
hormat senjata,1230,868
horrigible,950,989
hosay,25500,89200
hosehbo,4850,2330
hosei liao,961,961
hot die me,94300,97800
hotdog prata,649,649
hotel 81,504000,499000
hou sek,1940,1980
hougang chalet,367,582
house visitation,5600,5310
housing project,604000,595000
how can,113000000,87900000
how liddat,1230,1340
how like that,198000,198000
how now,192000,223000
how seow,1270,1270
hua hee,68600,68500
hua hee tio ho,666,666
huai,691000,646000
huan a,4810,5020
huat,3640000,3750000
huat ah,160000,182000
huat kueh,22700,20900
huat sio,292,295
huatderful,9,9
hudsons,202000,202000
huha,91700,93000
hui sei,205,198
huli jing,21000,21000
hum chi,584,577
hum pah lang,32,30
hum ji,2720,2720
hum kar chan,608,607
hum kar ling,9,9
hum sup,2210,2260
hum sup lou,132,173
hungry ghost festival,53400,51800
hutang,645000,626000
hutang keliling pinggang,4030,4820
hypokrit,18800,19100
ice and water,531000,845000
ice cream uncle,7580,7270
ice jelly,22500,21100
ice kacang,43000,48100
ice lolly,399000,398000
ice red bean corn,5,5
ice soursop,420,421
iceball,94000,22100
iced gem,6100,5840
identity card,729000,811000
idle king,2400,2400
idle queen,879,1130
ikan,10400000,10900000
ikan bilis,288000,288000
ikan bilis ppl,4,2
ikan satay,1190,1190
ikat perut,12400,12700
ill-wish,2610,5950
im thread,11600,11600
imba,534000,167000
immeelly,29,29
in-camp,582000,582000
indian cuisine,986000,869000
indian festival,311000,141000
indian harvest festival,6550,6620
indonesian cuisine,194000,522000
ini macam,105000,73300
innards,399000,130000
inshallah,625000,633000
insult grandfather,5,5
insult mother,1190,1450
ipoh laksa,4720,4720
iri hati,41800,41600
iron rings,40900,58300
iron rice bowl,23400,27500
irrit,38900,42400
is it,169000000,169000000
itchy backside,5200,5580
itchy finger,10100,10100
itchy hand,5300,8140
itchy mouth,6830,6380
itchy pantat,320000,329000
jade emperor,194000,194000
jaga,2040000,2310000
jahat,496000,457000
jak ba buay,4830,4800
jalan jalan,1110000,1110000
jambu,720000,670000
jangan,21000000,15500000
jangan catastrophe,3,3
jangan jangan,225000,145000
jangan tension,5440,5260
jantan,857000,890000
jatuh hati,129000,128000
jatuh heart,8,7
jazakallah,105000,98300
jelak,37500,35300
jeling,63900,66000
jelly cone,527,809
jelly cup,25300,26000
jemput,1610000,1500000
jemput datang,33300,39400
jemput jemput pisang,9570,9500
jemput makan,18600,18200
jenkol,2900,3340
jering,109000,888000
ji dan gao,8590,8660
ji dan gao fnb,31900,44300
ji gu pa,533,564
ji ji wai wai,9,9
ji seow,141,153
ji siao,281,271
ji wei fan,2800,2800
jiak,231000,244000
jiak ba buay,4830,4800
jiak bo liau,9090,8470
jiak buay liao,183,183
jiak buay pa,9,9
jiak cao,230,169
jiak chor,29,26
jiak hong,3350,3020
jiak kantang,2430,2600
jiak kor,4,3
jiak kuay kuay,85400,2
jiak lang,57,59
jiak leow bee,352,341
jiak lui,309,312
jiak pah boh sai pang,4,4
jiak pah pak ka chng,35300,35300
jiak png,651,651
jiak sai,3170,3130
jiak sior eng,85900,34100
jiak zua,2890,2900
jialat,123000,49700
jian dui,7730,7660
jiao bin,4330,5590
jiao geh,9,9
jiayou,68700,447000
jie jie,333000,327000
jijik,114000,117000
jilat ludah,3130,3220
jilo,72600,72900
jin,39900000,37100000
jio,4460000,4510000
jio is bo,8,8
jiu hu,9750,9920
jiu ming,24400,24400
jiu ming ah,94,90
jiwang,396000,394000
joayo,3990,4130
johor laksa,7470,7750
joli,31500000,21900000
jom,2630000,2380000
joss paper,66800,66800
jual jubo,135,136
jual mahal,34900,34800
juang lah,40,40
jube,304000,304000
jude,7710000,8180000
jugger,163000,161000
junior college,3060000,3490000
just nice,1290000,1290000
just right,10700000,7410000
k.o.,58800000,71700000
ka chng,1100,1470
ka chng itchy,5,5
ka ki kor ka ki,2,3
ka zua,292,403
kacang,2050000,2750000
kacang brain,5,5
kacang hantu,681,628
kacang putih,14600,14300
kacau,383000,400000
kacau daun,2420,2230
kacau leaf,126000,158000
kachau,6930,7060
kae ang moh,46,46
kah kana lum pa,47600,46800
kah kenna chiu,5,5
kah kia,425,411
kai kai,66900,71300
kai qiao,3300,3170
kain sarong,6040,4500
kain songket,27600,27700
kaki,18800000,19400000
kaki alcohol,75,75
kaki arak,700,1490
kaki bangku,9700,13600
kaki bazir,4,4
kaki betina,1200,1720
kaki bodek,3350,3470
kaki botol,5020,4870
kaki buli,4090,4070
kaki bully,46,43
kaki cabul,7,7
kaki cabut,366,392
kaki dadah,328,799
kaki gaduh,1580,2470
kaki gossip,166,166
kaki hutang,78,193
kaki jantan,218,218
kaki joli,207,202
kaki judi,4580,16900
kaki lang,3780,4270
kaki lepak,5900,11800
kaki lottery,7,8
kaki mabuk,4000,4880
kaki maksiat,341,630
kaki membazir,8,9
kaki mengumpat,110,110
kaki menyampuk,3,3
kaki minum,1790,2560
kaki party,1150,1130
kaki perempuan,21300,25300
kaki ponteng,1710,1740
kaki rape,372,4
kaki sampuk,4,4
kaki suap,10,27
kaki togok,164,275
kaki umpat,58,54
kaki zina,178,171
kaku,1180000,1300000
kalang kabut,48500,24600
kalimannu,12100,11700
kam buan,43,49
kam guan,287,287
kam muan,220,220
kam tong,8960,8950
kamcheng,16400,9040
kampau,2540,2560
kampung,11900000,12200000
kampung chicken,24200,20900
kampung ppl,4480,294
kampung spirit,24500,19600
kan bu qi,812,805
kan cheong,9940,17800
kan cheong pi sai,28,27
kan cheong spider,3110,3080
kan lin nia,53,53
kan ni lao bu,84,102
kan ni lao peh,22800,23600
kan ni na,3670,3700
kan sui kueh,1,1
kan ti tu,3750,3750
kang he kia,48,45
kang kor,3080,3020
kang tau,2280,2280
kangkong,122000,105000
kannu,58000,270000
kantang,72800,74700
kantoi,146000,431000
kao lat,680,641
kao peh,1990,2060
kao peh kao bu,809,1050
kapchai,10400,11000
kapoh,9800,11100
kar chng,2340,2300
kar chng kang,51,57
karaoke bar,141000,141000
karat,6620000,5710000
kari,23400000,22500000
kari laksa,14900,16100
kartun,1400000,2490000
karung guni,20500,20000
karung guni man,1590,2490
karut,64600,61900
kasi chance,5630,5680
kati,8310000,7470000
kati menggatal,4760,4710
katik,200000,22000
katik ayam,146,86
kau,5440000,4330000
kau peh kau bu,174,207
kawaii,30400000,31000000
kay,35700000,32200000
kay gau,494,326
kay kay,306000,82400
kay kiang,1850,1860
kay siao,944,766
kaya hati,14400,14400
kaya hutang,250,447
kaya toast,292000,414000
kaypoh,63700,71600
kaypoh chee,151,149
kaypoh kia,523,523
kayu,8360000,8810000
kayu tiga,9410,9410
kc trap,2680,2680
kci,237000,243000
kcs,4120000,4310000
ke ai,45000,10400
ke belakang pusing,858,859
ke lian,9510,9240
kebuluh,655,655
kechik,106000,104000
kecil hati,44600,43800
kecoh,211000,208000
kecohrable,627,627
kedah laksa,2450,2500
kedekut,75500,74800
kedenking,1,1
kee hiao,4,4
kee jiak,79,49
kee jiak ak,3690,380000
kee siao,1200,2120
keep to yourself,234000,278000
keep quiet,591000,585000
keep safe,346000,346000
keep secret,287000,290000
kek khi,96,97
kek lapis,80000,76000
kek lapis moden,621,621
kek lapis sarawak,27400,78300
kek sai,360,360
kek si,6800,6780
kekek,56900,56200
kelakar,371000,358000
kelam kabut,67700,71500
kelantan laksa,4750,5070
kelentong,16000,15800
keling,185000,193000
keling kia,1140,1140
keling pariah,955,957
kelong,187000,138000
kelong king,1120,1120
kelong queen,4,4
keluar baris,3010,1020
kembung air,1980,2010
kena,8680000,8760000
kena arrow,6340,6310
kena axe,36,35
kena bang,5270,6830
kena bantai,10800,6420
kena bedal,8,8
kena belasah,12000,8520
kena blast,203,211
kena box,356,498
kena buang kerja,10300,17300
kena cabul,2310,1890
kena catch,1110,955
kena caught,9720,9630
kena cekik,1430,796
kena cheat,885,869
kena con,4070,3990
kena control,3290,3450
kena corner,408,374
kena criticize,38,39
kena cut,4730,3990
kena drench,2,2
kena drill,388,410
kena fire,1050,896
kena force,581,514
kena geng bang,240,292
kena goreng,2990,4010
kena hammer,242,335
kena hentam,16700,13100
kena hit,3560,2980
kena hukum,14200,15700
kena jack,862,800
kena kelentong,2370,1530
kena kick,3800,3800
kena kick out,1460,1230
kena kiss backside,6,6
kena kondamn,4080,3980
kena kongkong,204,98
kena kutuk,14100,8990
kena lanyak,2160,1550
kena lempang,7250,6040
kena main,119000,123000
kena marah,96800,96300
kena paksa,127000,113000
kena pecat,14800,6060
kena perangkap,670,1020
kena play,5030,5650
kena politic,10,53000
kena prank,42200,24300
kena pressure,930,627
kena psiko,247,221
kena psycho,252,211
kena pukul,23200,23100
kena punish,475,504
kena qie,6,7
kena rembat,6610,5300
kena rogol,169000,163000
kena sack,650,852
kena sacked,487,453
kena sai,2050,2030
kena saiko,75,69
kena saman,47900,47800
kena scam,20500,11200
kena scold,2370,2320
kena screw,414,558
kena sekel,143,85
kena seksa,2380,1650
kena semek,1,1
kena sepak,4790,4730
kena slam,298,328
kena slap,1310,1170
kena smack,393,276
kena sound,10800,14500
kena squash,49,49
kena stomp,494,607
kena strangle,4,4
kena tangan,5850,7350
kena tangkap,116000,116000
kena tau pok,1,1
kena tekan,13700,11900
kena tendang,11900,11400
kena tiao,289,235
kena tipu,163000,163000
kena torture,551,504
kena trap,1020,911
kena trick,440,400
kena tumbuk,6610,4830
kena upside down,50,69
kena walkover,46,48
kena whack,3210,3160
keng,6900000,6810000
keng chio kia,76,78
keng gai,208,208
keng ka liau,6,6
keng king,672,686
keng queen,97,180
kengster,1220,1280
kening terperanjat,4,4
kental,656000,519000
kental shit,1180,15900
kentang,805000,814000
kentot,298000,310000
kentut,223000,230000
kenyang,299000,294000
kenz,200000,187000
keong hee huat chye,948,1040
keong kan,430,430
keow kui,2,2
kepala angin,5580,3110
kepala batu,18400,18300
kepala botak,30100,18700
kepala butoh,3600,2840
kepala crack,1,1
kepala otak bapak kau,30,29
kepala pening,10800,7580
kepala sakit,39500,42600
keps,350000,93100
kept woman,208000,209000
kera sumbang,3680,7070
kerek,112000,132000
kerepek,97400,101000
kerepek ikan,747,820
kerepek kentang,7410,8350
kerepek pedas,2560,2400
kerepek udang,881,807
kerisik,69400,30500
keropok,195000,174000
kesian,376000,396000
ketat,1540000,1980000
ketat ppl,3,37200
ketenteng,56,56
ketinggalan,1050000,1070000
ketot,15900,16200
ketuk,322000,290000
ketupat,394000,394000
kew ong yah,25300,25000
kfc man,4680,4680
khek,127000,47500
khia khia,605,553
ki chia,1300,1330
ki ho lang kan,6,6
ki si,112000,120000
ki si lang,100,46
kia cheng hu,157,115
kia lai kia ker,117,120
kia lang,554,554
kia si lang,271,262
kiabo,6500,5880
kiam,164000,168000
kiam chye,14600,14500
kiam eh,10,60
kiam lui,84,38
kiam pah,373,444
kiam siap,2610,2630
kiampa,853,770
kiao ka,587,607
kiao kar,327,332
kiao kar yo lum pa,7,7
kiap,27300,26400
kiap si,7,72600
kiapap,75,58
kiasai,496,540
kiasi,411000,68000
kiasiism,55,57
kiasiness,96,125
kiasu,309000,307000
kiasuism,6450,6200
kilat,599000,601000
killer litter,6650,5710
kim jio,1320,697
kim tang tang,348,345
kim zua,4820,4060
kimak,162000,161000
kimek,7240,6750
kin chio kia,4,4
kin chiong,112,91
kin kah kin chew,64,41
king,128000000,199000000
king jame version,439,439
kio tio,496,487
kio tio goo lan,8,9
kiss backside,1920,2080
kiu kiu kio,137,131
kiu mia,154,265
kiu mo,578,587
kiut,235000,231000
kiut miut,6060,6210
kiwak,23200,23500
kizhavan,826,672
kizhavi,339,318
knock out,809000,814000
knock bamboo pieces,1,1
knock it down,39400,39000
knock off,869000,869000
ko cha bi,742,2310
kodok,606000,664000
kolam,3670000,3770000
kolot,206000,196000
kong chiao weh,34,27
kong jiao wei,385,385
kong sar kong si,32,32
kong si mi,1190,1170
kongkong,102000,97300
kongsi,1290000,1420000
konjac jelly,43200,52200
konnyaku jelly,14200,18100
kontot,1550000,1560000
koo bye,8,8
kool,3530000,2620000
koon,8520000,3550000
koon king,1600,1600
koon queen,166,277
koot lat,4,5
kope,322000,315000
kopi,8840000,7320000
kopi c,25000,26400
kopi gau,1450,1450
kopi kia,1490,2840
kopi kosong,4250,4190
kopi o,136000,124000
kopi peng,8420,8700
kopi poh,928,919
kopi kia,1490,2840
kopi lui,663,712
kopi money,3750,3750
kopi sock,1630,1640
kopiko,42000,42200
kopitiam,1070000,972000
kor ka ki,6,2430
kor kor,46600,47600
kor lian,246,223
kor lian dai,33,38
korban,1120000,1750000
koro,326000,800000
kosong,5260000,6690000
kotek,559000,559000
kotta,247000,248000
koyak,262000,259000
koyok,21300,19600
kristang,28900,27500
kthxbye,40000,41200
kua si mi,413,391
kua simi kua,383,408
kuah beh ki,363000,413000
kuah buay ki,3340,9620000
kuah lang,80,92
kuah midnight,7,7
kuah suay,2,2
kuai,910000,943000
kuai kia,76,76
kuai kuai,7350,3410
kuai lan,2040,2100
kuai lan kia,79,79
kuat,7450000,7630000
kucing kurap,7920,4860
kudut,6260,6260
kuih,748000,693000
kuih abok abok,2560,2560
kuih akok,14600,14600
kuih akok kedut,1330,1240
kuih ambon,598,541
kuih bahulu,22900,23500
kuih bahulu pandan,244,244
kuih bakar,27800,27500
kuih bangkit,22300,20500
kuih batang buruk,4730,4730
kuih belanda,564,564
kuih bingka,28700,28800
kuih bingka pandan,2100,1980
kuih bingka sarang,3,3
kuih bingka ubi,7380,18100
kuih bingka ubi kayu,7950,7970
kuih bom,21500,24300
kuih bom pisang,1440,1690
kuih bongkong,1660,1580
kuih bronok,836,835
kuih cara,28500,28900
kuih cincin,10800,10700
kuih dadar,22400,21400
kuih dodol,1990,2020
kuih gandos,25,28
kuih jagung,2580,2580
kuih jongkong,9130,9030
kuih kamir,7230,6950
kuih kapit,67800,26800
kuih kasturi,8070,8230
kuih kaswi,29300,14000
kuih kaya,1810,1790
kuih kelupis,106,106
kuih koci,35800,41500
kuih kodok,1710,1800
kuih kosui,11600,11800
kuih koya,1320,1460
kuih lapis,49200,39800
kuih lapis sarawak,4480,4370
kuih legit,90,32
kuih lompang,24500,23500
kuih lopis,3580,1570
kuih makmur,20400,20400
kuih manja,1400,1380
kuih marmer,26600,24500
kuih momo,3720,1710
kuih pancong,6,6
kuih pie tee,8310,4280
kuih pulut,8630,9840
kuih rangin,1380,1950
kuih rengas,2560,2770
kuih sago,4600,4540
kuih salat,6810,6820
kuih semperit,11800,11800
kuih semprong,109,364
kuih seri muka,23300,24800
kuih siput,23700,23500
kuih tako,11900,11900
kuih talam,36800,37200
kuih tayap,3100,3130
kuih tunjuk tunjuk,191,194
kuih tutu,17500,1910
kuih wajik,2010,3960
kuku,957000,984000
kuku bird,3200,3220
kuku head,288,288
kuku jiao,858,858
kum cheng,909,1810
kum cheng trap,8,8
kum gong,2610,2540
kum gong kia,328,328
kum lan,2270,2160
kum lan kia,113,109
kum pooi,38,36
kumsiahamidas,3,3
kundi,367000,741000
kunji,235000,239000
kupon,729000,1350000
kurang ajar,267000,267000
kurus kedenking,1,1
kusut,392000,355000
kusut masai,5800,5680
kuti,375000,716000
kuti kuti,10100,18700
kutti,316000,317000
kutuk,229000,220000
kwa meenite,6,7
kwa hee,147,140
kway,762000,730000
kwiyowo,95,54
l-cube l-square,6,6
la jiao pang xie,148,150
la sai,10700,35200
lack common sense,19200,46200
lady boss,265000,244000
lagi,43600000,43000000
lah,6670000,4950000
lak seh,109,109
laksa ipoh,1920,1960
laksa kari,3450,5880
laksam,103000,102000
laling,27600,26700
lam nua,678,707
lambat,1400000,1480000
lambong,33000,32000
lame,18000000,13900000
lame answer,6080,6050
lame joke,29300,8070
lan,57100000,63800000
lan eh,4780,5000
lan tui,5780,5700
lan game,21100,205000
lan jiao,5050,10500
lan jiao bin,299,414
lan jiao face,130,130
lan jiao lang,362,304
lan jiao wei,649,629
lan lan,60800,55400
lan sai bin,2,2
lan sai lang,8,8
lan sai wei,2,2
lan si,20500,20500
lan tiu,89,89
lancing,651000,272000
langgar,267000,260000
langsat,373000,156000
lanjiao wei,299,290
lantak,70000,69900
lantak bapak kau,10,9
lantak kau,4200,4230
lantern festival,230000,234000
lanyak,68500,69700
lanzone,183000,180000
lao ban,55800,52900
lao ban niang,20500,21100
lao bu,4710,5940
lao char bor,814,810
lao chio,2750,3850
lao da,20600,21000
lao gong,31200,31300
lao hiao,162,162
lao jiao,85400,85600
lao kok kok,836,845
lao kwee,354,353
lao peh,14100,14300
lao peng,2030,1920
lao po,5280,5380
lao pok,780,765
lao shuai,221,221
lao tar por,944000,953000
lao ter khor,266000,35800
lao yah,93,94
lao yah pok,9,10
lao yandao,5,5
lapar,655000,657000
lasak,160000,324000
laser mouth,1690,1690
last time policemen wear shorts,362,382
last chance,3350000,3350000
last warning,182000,183000
lau ter khor,8,8
lau jiao,1110,1090
lau kau,2020,2090
lau kwee,517,513
lau lan,3060,3060
lau pee hui,411000,420000
lau pei huet,39000,17300
lau sai,6780,6510
lau yah,276,284
laugh die me,6390,6220
law by law,359000,359000
lawa,435000,430000
lazy bum,38000,38000
lazy to explain,280000,280000
lean body,470000,482000
leceh,49200,46800
lee hsien loong,1560000,1730000
legong,65200,53300
leh,2570000,6350000
lelong,1280000,671000
lemang,98500,113000
lemau,51700,50100
lembab,466000,431000
lembik,187000,188000
lembut hati,18300,14400
lemon tea,303000,307000
lempang,35200,42400
leng lui,12100,4610
leng zai,6810,6770
lepak,264000,239000
lepak one corner,10500,4780
lepat pisang,5940,14100
lerf,12900,12700
less means hor,2,2
lhd,3330000,1900000
li,189000000,166000000
li hai,259000,261000
li ho,343000,343000
li na beh,290,287
li na bu,1600,2420
li nao hiah,10100000,20200000
liak bo kiu,447,447
liam keng,1430,1450
lian,9370000,8050000
lian hei hei,5,5
lianglish,6,6
lianified,2,2
liao,6730000,7940000
liddat oso can,806,590
liddat how,994,1010
liek boh kiew,5,5
ligo raisin,323,382
like ah pek,1370,1660
like ah soh,287,285
like airport runway,1080,1160
like attention,138000,145000
like auntie,26000,25600
like grocery shopping,38900,38000
like lamp post,338,327
like makcik,630,597
like market,77100,360000
like nobody's business,70900,71700
like pakcik,76,76
like praise,17600,33900
like real,829000,1330000
like runway,13100,12200
like that,38700000,50400000
like that how,775000,845000
like tiang lampu,1,1
like uncle,27600,28100
like understand only,2,2
like unker,225,222
lim coffee,3430,3420
lim kopi,13700,13600
lim peh ka li kong,765,765
lim teh,5800,6050
limited english,418000,393000
lingua franca,479000,484000
lintah darat,13300,13500
lion dance,394000,1050000
lip lai,5800,5800
litter bug,8940,2090
little boy,7530000,4560000
little red dot,262000,254000
little strength,48200,76800
live firing,34300,33300
llst,146000,147000
lo hei,60500,59900
loan shark,115000,106000
loanmai,864,981
lobang,506000,562000
lobo,2910000,8630000
loh soh,2180,2070
lolex,13200,12700
lolz,423000,155000
lomance,4130,4070
lomantic,7530,7390
lombang,28800,29800
long bean,87500,87500
long chiam pas,136,140
long life,6710000,6710000
long long no see,348,348
long tio wu siah,5,5
longan,331000,347000
longkang,86500,89000
longkau,159,159
longkau chui,6,6
lontong,344000,361000
lood,562000,196000
looksee looksee,3200,9050
loosu,28900,28700
lor,10700000,11700000
lose face,53700,53200
lose money,467000,2480000
lost form,14000,14000
love letter,753000,673000
loving lion,9760,9370
low class,386000,395000
lppl,57400,56200
lu,54800000,90200000
lu lai lu lau lan,632000,588000
luan,1540000,1520000
luan luan,38700,38800
luan luan lai,1620,1620
luan luan zuo,236000,473000
lugi,232000,228000
lui,24300000,33700000
lui bin,2010,1230
lum pah,270,270
lum pah pah lan,46,46
lum pa bin,674000,1270000
lum pa ji,1,1
lum pa pa lan,178,178
lumpang,52600,59100
lumsing,16300,16800
lunar calendar,267000,248000
lup sup,2020,3360
lup sup bar,497,497
lurus bendul,6200,6080
ma chor poh,223,233
ma huan,41300,11100
ma si sa ko,10,10
maangaa,626,626
maapillai,8800,8180
mabok,430000,423000
macam,9850000,9560000
macam betul,13300,13500
macam biskut,3550,3560
macam faham,3010,2850
macam lamp post,64100,77100
macam macam ah,8510,8440
macam macam sia,4,4
macam macam siak,1,1
macam macam sial,6,6
macam macam siol,2,2
macam macam siot,4,4
macam paham,3990,3120
macam real,4430,3370
macam tak cukup makan,2100,2040
macam tiang lampu,311,323
macha,426000,1050000
machan,172000,177000
machi,995000,1050000
macnoner,9,9
madrasah,591000,530000
mah fan,1380,1380
mah jie,346,370
mai,73600000,74400000
mai gei lah,8,8
mai sng sng,162,120
mai beo,2130,2120
mai gay,289000,284000
mai hiam buay pai ai hiam kena sai,43,32
mai ka li gong hor li gian,8,8
mai la mai la wa mai,326,377
mai lai,33100,33600
mai siao siao,2500,5230
mai tu liao,27100,12200
main baju,2880,2460
main bedal,4340,4290
main control,369000,150000
main gila,8760,9190
main hentam,7820,7790
main jubo,3670,3670
main kasar,6750,6250
main kutuk,593,593
main main,301000,344000
main pantat,79100,60800
main rembat,857,851
main sondol,279,279
main tipu,3850,3790
main tuduh,1740,1870
main whack,66,65
majok,83400,84400
mak bapak tak ajar,382,367
mak kau,57600,58400
mak nenek,35400,35500
makan,20200000,16300000
makan angin,29600,42400
